"Sl. No.",State/UT,"Har Ghar Jal Reported Villages","Har Ghar Jal Certified Villages"
1,"Andaman and Nicobar Islands",265,265
2,"Andhra Pradesh",4740,3646
3,"Arunachal Pradesh",5133,5133
4,Assam,7348,3649
5,Bihar,32450,1
6,Chhattisgarh,2344,856
7,"Dadra and Nagar Haveli and Daman and Diu",96,96
8,Goa,373,373
9,Gujarat,18034,16525
10,Haryana,6577,6577
11,"Himachal Pradesh",17816,12373
12,"Jammu and Kashmir",1008,471
13,Jharkhand,4244,2015
14,Karnataka,5813,3297
15,Kerala,118,78
16,Ladakh,151,30
17,Lakshadweep,6,3
18,"Madhya Pradesh",14731,7684
19,Maharashtra,17362,11067
20,Manipur,613,293
21,Meghalaya,2533,1325
22,Mizoram,637,542
23,Nagaland,1011,591
24,Odisha,12616,6537
25,Puducherry,91,91
26,Punjab,11863,11863
27,Rajasthan,6886,3241
28,Sikkim,115,58
29,"Tamil Nadu",6672,5114
30,Telangana,9458,0
31,Tripura,67,46
32,"Uttar Pradesh",27545,18207
33,Uttarakhand,8668,3897
34,"West Bengal",3538,1837
Total,Total,230922,127781
