S No.,Districts,Total FRA Beneficiaries Registered,No. of FRA Beneficiaries Having Private Land,Extent of Land (in Acre),Employment Availed(2023-2024),,,,,
,,,,,Current Year(2025-2026),,,Previous Year(2024-2025),,
,,,,,HHs availed 100 Days,HHs availed 101 to 149 Days,HHs availed 150 Days,HHs availed 100 Days,HHs availed 101 to 149 Days,HHs availed 150 Days
1,2,3,4,5,6,7,8,9,10,11
1,ANGUL,1744,215,1595.75,3,6,0,6,41,1
2,BALESHWAR,2063,314,1230.11,0,23,0,20,59,0
3,BARGARH,594,40,1325.46,2,20,0,4,30,16
4,BHADRAK,57,40,56.06,0,0,0,0,0,0
5,BOLANGIR,3596,343,4803.61,16,156,3,142,712,337
6,BOUDH,1734,290,12935.15,0,1,0,10,59,0
7,CUTTACK,1019,332,23555.96,6,7,0,2,11,0
8,DEOGARH,5918,757,30634868.09,4,38,0,56,505,14
9,DHENKANAL,8529,918,112879.79,13,89,0,64,347,6
10,GAJAPATI,33261,5484,268965389.3,59,591,14,156,3428,854
11,GANJAM,5405,986,241904.11,7,65,4,25,200,4
12,JAGATSINGHAPUR,6,3,2.46,0,0,0,0,0,0
13,JAJPUR,3343,1832,472947.16,0,1,0,2,6,0
14,JHARSUGUDA,2168,431,5243.95,12,103,8,51,281,34
15,KALAHANDI,5521,823,14967.97,19,238,0,20,992,551
16,KANDHAMAL,61174,11758,5746748563,146,2698,111,721,18461,3436
17,KENDRAPARA,167,0,292.05,0,0,0,0,0,0
18,KENDUJHAR,48877,19417,264796300.6,40,510,13,255,3035,184
19,KHORDHA,374,110,718.24,1,1,0,4,19,0
20,KORAPUT,31046,3571,43804423.46,30,1350,28,166,6548,644
21,MALKANGIRI,38750,13257,104495346.6,21,672,4,301,6561,224
22,MAYURBHANJ,34153,10578,1301040355,18,394,18,195,3439,88
23,NABARANGAPUR,34591,7100,340104.85,36,442,6,100,3769,822
24,NAYAGARH,2466,382,9269.52,5,16,0,6,37,0
25,NUAPADA,4746,1633,407756.95,33,434,33,15,1233,738
26,PURI,75,1,48.99,0,4,0,18,37,0
27,RAYAGADA,28446,6458,62913515.39,53,989,32,310,5088,605
28,SAMBALPUR,13842,6135,573819.38,15,319,2,115,1170,34
29,SONEPUR,487,171,1638.84,0,8,0,2,93,6
30,SUNDARGARH,19443,3446,165008.69,98,1185,102,375,4688,749
,Total,393595,96825,7825790866,637,10360,378,3141,60849,9347
